Year,Ranking,Company,Customer Satisfaction,Employee Engagement and Development,Innovation,Social Responsibility,Financial Strength,Effectiveness
2017,36,Salesforce,71.7,79.2,53.4,59.8,42.7,67.2
2017,37,AT&T,44.6,52.2,79.8,60.2,68.5,66.8
2017,37,Jones Lang LaSalle,56.1,66.9,70.9,62.3,48.8,66.8
2017,39,Brown-Forman,57.3,72.8,56.2,59.5,58.3,66.5
2017,39,Texas Instruments,55.0,64.3,44.7,67.9,70.0,66.2
2017,41,Walmart,49.7,39.7,86.9,56.3,72.0,66.1
2017,41,Eli Lilly,58.9,70.4,54.6,64.6,52.8,65.9
2017,43,General Motors,49.7,59.5,69.3,57.9,66.1,65.9
2017,43,Merck,65.9,56.4,54.7,70.4,53.6,65.8
2017,45,Oracle,71.6,49.3,51.9,65.6,63.9,65.8
2017,46,Meta Platforms,45.2,73.6,69.4,44.9,70.1,65.7
2017,46,Bristol-Myers Squibb,47.4,62.9,61.6,69.5,58.1,65.6
2017,46,L Brands,58.4,57.0,77.6,50.9,59.2,65.5
2017,49,Campbell Soup,59.9,62.9,49.6,69.9,56.1,65.2
2017,49,Verizon Communications,48.5,57.4,53.3,64.7,74.1,65.0
2017,51,Bank of America,46.1,57.5,65.1,66.6,62.1,64.8
2017,52,Boeing,62.7,51.7,60.7,53.7,71.3,64.7
2017,52,JPMorgan Chase,50.6,54.9,64.3,61.1,66.6,64.5
2017,54,Home Depot,50.1,46.9,63.7,55.1,82.5,64.4
2017,54,Walt Disney,47.3,59.0,61.9,64.4,63.5,64.3
2017,56,Hershey,64.8,59.3,49.9,63.4,59.7,64.3
2017,57,Pfizer,55.2,59.8,62.5,61.7,57.3,64.2
2017,58,General Mills,57.0,61.7,57.0,67.1,52.7,64.2
2017,59,Edwards Lifesciences,65.0,59.2,62.2,55.2,56.5,64.2
2017,60,Eaton,62.5,59.8,56.1,67.2,49.6,64.0
2017,60,Hilton Worldwide,62.0,65.0,69.2,55.1,45.2,63.8
2017,62,Amgen,62.2,57.5,54.7,61.0,59.6,63.6
2017,63,Citigroup,46.3,58.2,65.4,65.5,57.8,63.5
2017,63,Qualcomm,51.3,54.8,70.6,64.3,52.8,63.5
2017,65,The Toronto-Dominion Bank,55.5,66.6,42.4,74.7,50.7,63.4
2017,66,JetBlue Airways,71.5,63.4,52.7,51.8,56.1,63.3
2017,67,Applied Materials,61.1,52.0,51.8,62.5,65.3,62.9
2017,68,Moody's,56.3,62.8,69.8,49.5,55.7,62.9
2017,69,Rockwell Automation,62.3,58.8,50.8,63.4,56.2,62.7
2017,70,Hormel Foods,63.8,66.7,47.9,57.3,56.0,62.6
2017,70,Sempra,53.7,74.0,48.7,63.7,49.3,62.4
2017,72,Avery Dennison,64.3,54.7,54.1,60.8,56.8,62.3
2017,73,The Bank of Nova Scotia,70.0,59.0,45.3,66.3,48.9,62.2
2017,73,TECK RESOURCES LTD,58.3,62.0,46.7,73.9,45.3,62.0
2017,75,Mastercard,47.9,55.0,59.5,51.8,75.9,61.9
2017,75,FedEx,56.1,53.9,64.7,57.1,58.0,61.9
2017,77,Hewlett Packard Enterprise,79.4,41.2,63.5,62.0,44.4,61.8
2017,78,Lam Research,61.4,62.1,48.0,59.2,58.4,61.8
2017,79,Hasbro,50.4,60.2,53.6,64.5,58.9,61.8
2017,80,eBay,53.8,56.0,49.5,59.2,69.8,61.7
2017,80,Biogen,45.2,62.7,48.2,70.6,58.7,61.6
2017,82,Royal Bank of Canada,52.2,66.6,46.5,67.5,51.9,61.5
2017,83,Juniper Networks,69.0,62.9,46.1,60.9,48.8,61.4
2017,84,Raytheon,56.9,54.9,58.1,61.1,55.2,61.0
2017,84,Deere,56.6,59.1,60.5,61.3,48.5,61.0
2017,86,DuPont de Nemours,58.9,45.5,71.5,57.1,53.9,60.9
2017,86,Pitney Bowes,62.3,48.1,60.0,59.4,56.6,60.9
2017,88,AbbVie,43.8,62.5,50.3,57.9,70.5,60.8
2017,89,Alcoa Corp,63.0,47.7,75.1,58.7,42.2,60.8
2017,89,Owens Corning,57.3,62.4,49.2,66.6,48.6,60.8
2017,89,Canadian Imperial Bank of Commerce,54.0,64.1,50.5,65.3,48.3,60.5
2017,89,Discover Financial Services,62.2,57.4,68.6,48.7,49.8,60.5
2017,89,Ingersoll Rand,62.6,57.1,47.8,64.7,51.7,60.5
2017,89,Equinix,57.2,58.5,80.2,44.2,47.3,60.5
2017,95,Whirlpool,50.6,62.0,61.4,56.7,53.6,60.4
2017,96,ProLogis,62.2,64.2,43.8,65.7,46.4,60.3
2017,96,Wells Fargo,44.5,58.6,55.9,61.0,62.7,60.2
2017,96,Delta Air Lines,40.8,73.0,51.3,54.8,62.9,60.2
2017,99,Best Buy,54.1,53.7,51.8,63.7,59.6,60.2
2017,100,Analog Devices,67.1,58.0,52.0,59.2,47.7,60.1
2017,100,Cognizant Tech Solutions,60.7,56.5,47.5,62.2,55.4,59.9
2017,100,BCE Inc,51.2,61.8,46.1,69.2,50.3,59.8
2017,103,Cummins,53.8,56.1,55.0,63.5,52.9,59.7
2017,103,TE Connectivity,69.4,47.1,49.0,61.7,55.3,59.7
2017,105,Visa,62.0,47.1,60.5,53.6,59.9,59.6
2017,105,United Technologies,58.3,47.7,64.8,57.4,54.1,59.5
2017,107,CA Technologies,59.9,56.3,48.7,67.2,48.0,59.5
2017,108,Johnson Controls International,69.8,49.4,51.7,65.5,44.6,59.4
2017,109,Praxair,53.2,51.6,52.8,70.5,50.8,59.3
2017,110,Berkshire Hathaway,49.4,43.3,81.3,33.9,76.3,59.1
2017,111,Air Products & Chemicals,48.6,55.6,51.9,66.4,55.5,59.0
2017,111,Kellogg,51.2,54.8,52.6,68.3,51.1,59.0
2017,111,Mettler-Toledo International,61.8,52.9,47.7,50.1,68.6,58.9
2017,111,CBRE Group,51.4,61.0,52.3,59.3,54.7,58.9
2017,111,T-Mobile,51.8,56.4,49.0,64.0,56.9,58.8
2017,116,Sherwin-Williams,49.5,57.2,58.8,54.6,59.4,58.8
2017,116,Agilent Technologies,60.4,55.5,47.8,65.2,49.4,58.8
2017,118,Allstate,55.3,51.9,63.6,58.3,49.8,58.7
2017,118,Eastman Chemical,60.7,61.5,52.8,54.7,49.8,58.7
2017,120,Nordstrom,61.7,61.0,45.4,60.0,50.4,58.7
2017,120,Thomson Reuters Corp.,62.5,51.8,52.1,60.2,52.0,58.6
2017,122,Target,57.9,48.3,54.3,63.2,53.8,58.4
2017,122,Alaska Air Group Inc.,60.0,62.0,50.7,48.8,57.8,58.4
2017,124,Becton Dickinson,53.5,52.2,58.0,65.5,47.3,58.3
2017,124,Philip Morris International,31.4,60.4,61.3,52.2,71.4,58.2
2017,126,Goldman Sachs Group,41.2,66.8,49.5,64.5,52.6,58.1
2017,127,Teradata Corp.,75.2,50.5,46.5,63.3,41.3,58.0
2017,128,Rockwell Collins,65.5,53.7,47.3,60.7,49.2,57.9
2017,128,TELUS Corporation,45.6,60.4,44.4,72.7,48.1,57.8
2017,130,Bank Of Montreal Quebec,54.2,60.2,39.3,70.4,48.4,57.8
2017,131,Abbott Laboratories,38.0,56.7,74.2,60.8,44.9,57.8
2017,131,McCormick,63.8,55.0,48.9,55.9,52.8,57.8
2017,133,NextEra Energy,54.8,64.8,46.4,55.3,53.9,57.7
2017,133,Estee Lauder,48.4,55.0,50.6,61.5,58.5,57.5
2017,135,LyondellBasell Industries,51.6,58.5,50.4,49.5,65.7,57.5
2017,135,Cardinal Health,60.1,55.0,55.2,50.2,55.7,57.5
2017,137,Darden Restaurants,60.2,52.3,49.7,56.7,56.1,57.5
2017,137,W.W. Grainger,57.1,53.7,48.9,62.6,51.1,57.3
2017,137,Autoliv,70.2,55.8,47.1,51.6,51.1,57.3
2017,140,PPG Industries,52.4,47.1,63.8,56.2,54.9,57.2
2017,141,Manpower Group,47.2,51.4,45.5,69.3,58.4,57.2
2017,141,Northrop Grumman,40.7,57.8,53.1,60.7,59.8,57.1
2017,141,Gilead Sciences,47.4,48.7,59.0,44.3,75.8,57.0
2017,144,Motorola Solutions,52.2,44.7,49.0,70.7,54.8,57.0
2017,144,TJX,51.9,51.3,47.1,54.7,68.2,56.9
2017,146,VF,59.8,52.8,49.0,55.5,56.2,56.9
2017,146,Seagate Technology,59.9,41.7,51.6,65.5,53.9,56.9
2017,148,Constellation Brands,58.5,57.1,55.6,45.4,57.9,56.8
2017,148,American Express,53.4,62.8,52.3,52.5,51.5,56.7
2017,148,Autodesk,50.7,68.6,53.4,71.2,25.5,56.7
2017,148,HCP Inc.,58.9,64.2,43.8,59.9,44.0,56.7
2017,152,KLA-Tencor,50.8,54.7,47.8,54.1,64.5,56.5
2017,152,Gap,48.5,55.1,49.0,64.5,53.0,56.5
2017,154,Xylem,61.8,47.3,46.7,66.8,47.8,56.5
2017,154,Southern,56.1,64.1,55.6,50.7,45.6,56.4
2017,156,PG&E Corp.,40.6,68.5,42.3,66.8,49.7,56.3
2017,156,Tiffany & Co,63.1,48.9,50.1,58.4,50.3,56.1
2017,156,PVH,59.7,57.2,47.3,59.1,46.7,56.1
2017,159,Magna International Inc.,54.8,57.6,47.4,53.4,56.6,56.1
2017,159,Symantec,50.4,59.1,47.8,68.4,42.1,56.0
2017,159,Newell Brands,65.0,42.9,58.3,52.3,53.5,55.9
2017,162,Skyworks Solutions,57.4,47.0,48.2,54.5,63.3,55.9
2017,162,Costco Wholesale,59.7,63.7,49.4,41.3,57.6,55.8
2017,164,Nielsen Holdings,57.6,57.2,54.2,53.5,47.4,55.8
2017,164,Varian Medical Systems,52.9,55.1,46.1,62.7,51.4,55.8
2017,164,CGI Group Inc.,66.0,50.3,46.0,55.0,52.6,55.7
2017,167,Humana,53.2,54.4,43.3,62.5,54.3,55.6
2017,168,Capital One Financial,51.2,66.4,48.5,53.4,48.6,55.5
2017,168,Northern Trust Corporation,50.6,58.5,46.2,63.9,46.4,55.4
2017,170,Fannie Mae,78.7,56.6,48.6,39.7,49.5,55.4
2017,171,Baxter,47.0,52.9,47.7,69.3,48.6,55.3
2017,171,Ball,60.7,49.2,46.4,64.4,46.1,55.3
2017,171,CSRA Inc.,93.6,31.8,48.6,43.0,57.9,55.2
2017,174,Visteon,67.4,43.5,49.2,54.9,53.5,55.2
2017,174,Chubb Limited,39.9,49.3,79.8,44.6,54.0,55.2
2017,176,Rogers Communications Inc.,48.5,61.0,45.4,61.5,48.1,55.1
2017,176,Reynolds American Inc.,51.1,67.5,46.2,47.6,55.2,55.1
2017,178,Delphi Automotive PLC,62.2,43.0,52.5,50.8,60.3,55.1
2017,179,Honeywell,60.0,38.6,67.0,46.7,57.1,55.0
2017,179,Regeneron Pharmaceuticals,46.0,66.9,53.8,42.2,59.0,55.0
2017,181,Sysco,62.4,49.8,51.0,50.9,54.0,55.0
2017,181,Morgan Stanley,50.1,57.7,45.4,59.4,52.8,54.9
2017,183,Automatic Data Processing,58.2,53.4,48.9,49.0,58.3,54.9
2017,183,Schlumberger,46.8,47.6,75.9,55.3,40.7,54.8
2017,185,Celgene,51.2,55.7,49.8,52.5,57.0,54.7
2017,186,International Flavors & Fragrances,53.8,48.6,48.4,61.7,52.6,54.7
2017,186,Celanese,59.9,48.9,52.7,52.0,53.1,54.6
2017,186,Dr Pepper Snapple Group Inc.,56.8,46.8,49.8,57.6,54.2,54.5
2017,186,Potash Corporation of Saskatchewan Inc.,55.2,63.1,45.5,59.7,39.8,54.4
2017,186,Yum Brands,45.6,55.3,47.2,48.4,68.8,54.4
2017,191,Waste Management,57.0,50.4,48.3,53.6,56.1,54.4
2017,191,International Paper,54.8,57.3,50.0,52.9,50.2,54.4
2017,191,Citrix Systems,61.3,57.8,48.0,49.5,49.5,54.4
2017,194,Coach Inc.,59.4,52.4,48.9,54.2,50.3,54.4
2017,194,Oshkosh Corp.,62.3,55.6,50.5,47.5,50.2,54.3
2017,194,Lululemon Athletica,58.1,57.8,47.8,46.1,55.7,54.2
2017,197,Netflix,55.4,57.1,63.6,36.2,54.9,54.2
2017,197,Red Hat,57.7,62.3,54.7,42.3,49.1,54.2
2017,199,Xilinx,57.7,53.0,48.1,52.4,53.5,54.2
2017,199,Lear,58.7,53.6,50.5,42.9,60.8,54.2
2017,199,Enbridge Inc.,41.3,66.9,43.0,64.8,43.5,54.1
2017,199,Baker Hughes,52.0,53.1,59.8,62.5,35.5,54.1
2017,203,J.M. Smucker,62.7,59.2,43.3,53.2,46.1,54.1
2017,203,Under Armour Inc.,60.8,56.1,60.4,42.0,47.1,54.1
2017,203,Workday,67.0,71.9,45.8,55.4,23.7,54.1
2017,206,Waters,57.3,54.2,48.8,51.8,52.5,54.1
2017,207,NetApp,57.1,58.2,46.7,54.7,47.4,54.1
2017,207,Dana Inc.,61.7,52.1,49.1,48.5,54.1,54.1
2017,209,Coca-Cola European Partners,67.3,46.5,44.6,56.4,50.1,54.1
2017,209,McKesson,48.2,51.2,46.0,52.5,65.6,54.0
2017,211,Electronic Arts,46.3,62.5,48.3,43.1,64.4,54.0
2017,212,Xcel Energy Inc.,44.2,59.2,43.5,65.4,48.7,54.0
2017,212,Micron Technology,56.6,46.5,50.2,54.2,56.6,54.0
2017,212,VMware,66.9,66.8,44.7,42.5,44.3,53.9
2017,212,Steel Dynamics,55.5,60.8,53.5,42.7,52.5,53.9
2017,212,Boston Scientific,42.4,59.4,58.0,54.1,48.5,53.8
2017,217,Ecolab,48.5,49.2,52.2,61.0,50.6,53.7
2017,217,Chevron,43.8,61.8,53.0,55.0,47.8,53.6
2017,217,CVS Health,51.0,34.3,57.1,61.9,57.7,53.6
2017,220,Thermo Fisher Scientific,57.0,49.9,49.4,54.7,51.7,53.6
2017,220,American Airlines,36.4,53.4,64.5,50.5,57.5,53.6
2017,222,Dominion Energy,50.0,59.4,48.5,54.7,49.0,53.5
2017,222,Hanesbrands,62.2,38.7,50.7,54.7,56.7,53.5
2017,224,CSX Corp.,43.7,55.2,44.5,64.4,51.8,53.4
2017,224,Akamai Technologies,47.3,65.3,47.3,54.2,46.8,53.4
2017,224,Booz Allen Hamilton,53.9,55.7,43.4,51.8,57.2,53.4
2017,227,Suncor Energy Inc.,46.8,58.7,44.0,64.7,43.7,53.3
2017,227,Quintiles IMS Holdings Inc.,63.0,53.2,48.7,50.7,46.8,53.3
2017,229,VeriSign,40.8,54.1,47.5,43.3,74.8,53.3
2017,229,Lowe's,52.6,48.6,50.3,49.2,60.8,53.1
2017,229,Paychex Inc,50.4,48.9,55.8,41.3,66.2,53.1
2017,229,Tyson Foods Inc.,57.3,52.7,44.5,50.1,56.5,53.0
2017,233,Sirius XM Holdings Inc.,53.2,44.6,66.2,40.5,58.6,53.0
2017,233,Alliance Data Systems Corp.,56.3,60.2,47.3,48.8,48.6,53.0
2017,233,Tenneco Inc.,69.7,39.1,52.1,46.8,55.2,53.0
2017,233,Exelon,35.3,64.7,44.7,63.6,48.7,52.9
2017,233,Monsanto Co.,24.8,62.5,63.4,54.0,53.3,52.8
2017,233,Albemarle,59.1,47.3,47.4,56.2,49.7,52.8
2017,239,Welltower Inc.,47.3,61.9,43.8,57.1,46.8,52.7
2017,239,Allegion PLC,54.6,46.2,49.8,46.6,63.5,52.7
2017,239,Hartford Financial Services Group,51.5,52.7,54.6,55.0,45.0,52.6
2017,239,F5 Networks Inc,48.4,62.0,43.4,44.5,61.1,52.5
2017,243,Ryder System Inc,62.2,49.3,45.3,55.6,46.7,52.5
2017,243,DTE Energy,45.5,63.2,41.4,56.7,49.9,52.4
2017,243,PerkinElmer Inc,62.0,46.2,46.8,54.7,49.6,52.4
2017,243,Huntington Ingalls Industries Inc.,48.8,51.0,52.1,48.2,58.5,52.3
2017,247,PNC Financial Services Group,56.3,54.7,43.2,54.2,49.2,52.2
2017,247,Consolidated Edison Inc,41.3,60.0,48.6,58.2,47.7,52.1
2017,247,Mosaic,57.7,49.0,46.2,64.6,38.4,52.0
2018,1,Apple,64.7,66.1,109.0,65.4,106.7,100.0
2018,2,Amazon,57.0,58.4,185.2,41.9,63.1,99.4
2018,3,Microsoft,56.4,72.9,91.9,78.0,70.4,87.7
2018,4,Nvidia,68.5,72.6,59.9,66.2,96.8,84.1
2018,5,Intel,62.2,60.5,82.0,77.9,74.7,83.7
2018,6,Alphabet,59.3,78.7,85.8,64.2,68.4,82.7
2018,7,Accenture,69.7,61.2,77.4,73.5,72.4,82.1
2018,8,Johnson & Johnson,58.6,68.4,89.2,71.6,62.5,81.5
2018,9,Procter & Gamble,70.4,66.6,72.5,64.4,73.2,79.3
2018,10,International Business Machines,73.0,51.5,82.4,73.4,63.6,79.2
2018,11,Pepsi,69.8,53.4,82.2,68.7,64.1,77.4
2018,12,3M,69.4,63.1,73.8,68.8,63.6,77.2
2018,13,Cisco Systems,71.8,66.2,69.3,76.0,53.8,76.8
2018,14,Starbucks,52.5,57.9,80.8,65.4,76.5,76.2
2018,15,Nike,64.1,61.5,76.5,62.8,69.4,75.8
2018,16,HP,59.4,61.9,63.6,78.2,68.8,75.7
2018,17,DowDuPont,70.1,54.7,104.9,53.2,49.5,75.5
2018,18,General Electric,56.5,53.1,109.9,65.7,38.6,74.2
2018,19,Clorox,70.8,67.1,54.2,67.5,70.5,73.9
2018,20,United Parcel Service,54.3,47.3,84.7,62.8,75.5,73.7
2018,21,Colgate-Palmolive,59.2,66.1,59.9,68.4,73.4,73.6
2018,22,Adobe,56.6,74.5,58.9,67.4,66.1,72.5
2018,23,Meta Platforms,38.6,75.7,70.7,52.8,83.6,72.1
2018,23,Jones Lang LaSalle,48.4,58.6,94.7,65.9,50.0,72.1
2018,23,Merck,69.1,56.1,70.3,70.9,54.7,72.1
2018,23,Walmart,54.2,43.4,93.3,59.7,68.2,72.1
2018,27,Exxon Mobil,48.9,58.3,89.3,58.3,63.3,71.7
2018,27,JPMorgan Chase,58.7,59.5,68.5,66.8,66.3,71.7
2018,29,Lockheed Martin,65.2,54.4,65.7,63.0,71.5,71.3
2018,30,Intuit,51.5,73.2,56.6,64.6,72.7,71.0
2018,31,Kimberly-Clark,68.7,57.0,49.8,69.2,74.9,70.9
2018,32,Pfizer,60.3,59.6,62.6,66.4,67.7,70.5
2018,33,Texas Instruments,54.0,67.8,47.8,72.3,73.0,70.0
2018,34,Boeing,64.6,55.0,65.1,56.1,75.3,69.9
2018,34,Hershey,70.6,53.9,56.9,64.2,70.9,69.9
2018,34,Marriott,61.9,57.2,73.1,61.5,60.7,69.9
2018,37,Coca-Cola,67.7,55.0,73.0,64.0,54.6,69.8
2018,37,General Motors,65.2,61.4,72.6,60.8,55.0,69.8
2018,39,Allstate,57.9,51.9,91.0,59.9,50.5,69.6
2018,39,Edwards Lifesciences,64.8,61.4,62.4,63.3,62.5,69.6
2018,41,S&P Global,55.3,64.9,47.4,65.8,77.7,68.5
2018,42,Ford,65.2,57.2,65.6,61.9,60.4,68.4
2018,43,Medtronic,51.0,59.1,80.4,66.9,48.0,68.0
2018,44,Salesforce,71.4,76.6,50.7,64.0,48.4,67.9
2018,45,Verizon Communications,39.5,56.0,63.9,66.6,78.3,67.7
2018,46,Brown-Forman,56.5,75.4,56.3,59.9,60.0,67.5
2018,47,Amgen,70.1,61.4,55.3,64.2,56.6,67.2
2018,48,Walt Disney,44.7,58.5,70.9,63.5,64.6,66.9
2018,49,Estee Lauder,68.3,57.9,55.4,63.0,61.2,66.7
2018,50,AbbVie,50.1,64.0,49.6,66.2,73.5,66.6
2018,50,Applied Materials,64.4,57.9,49.2,61.1,73.3,66.6
2018,52,Eli Lilly,63.9,61.8,55.7,66.8,55.9,66.5
2018,53,Mastercard,40.1,64.8,61.1,57.5,77.8,66.1
2018,54,Visa,62.2,53.1,60.2,63.1,62.4,65.7
2018,55,VMware,66.9,71.3,50.5,58.0,56.5,65.5
2018,56,Oracle,72.0,50.7,56.1,69.3,52.4,65.4
2018,57,Home Depot,49.9,52.2,55.2,57.4,84.2,65.1
2018,58,Micron Technology,61.3,55.4,49.8,52.6,82.1,64.9
2018,59,Bank of America,47.6,57.9,60.3,68.6,61.3,64.8
2018,60,Lam Research,59.2,60.7,47.3,60.3,71.8,64.7
2018,61,Rockwell Automation,66.4,56.6,51.6,61.8,62.7,64.6
2018,62,Best Buy,60.8,58.6,48.1,68.5,61.4,64.5
2018,63,Celgene,51.2,64.3,53.9,63.8,62.5,64.2
2018,64,Molson Coors,71.5,61.5,58.2,62.2,44.1,64.1
2018,65,American Express,53.1,60.3,73.1,57.5,49.9,63.9
2018,65,Hormel Foods,70.3,64.0,50.0,59.5,54.2,63.9
2018,67,AT&T,39.4,51.9,59.2,64.9,76.5,63.8
2018,67,Eaton,65.4,57.6,54.5,68.2,49.4,63.8
2018,69,Altria,49.2,59.9,58.1,57.7,69.2,63.7
2018,69,American Airlines,48.3,56.2,77.7,51.8,59.3,63.7
2018,69,Biogen,50.5,60.5,47.5,71.6,62.9,63.7
2018,72,TJX,56.5,54.3,48.8,62.9,71.6,63.5
2018,73,General Mills,57.5,58.5,57.1,68.9,50.5,63.4
2018,73,Praxair,57.9,52.7,57.2,72.3,51.6,63.4
2018,75,Kellogg,57.0,54.9,55.2,67.6,57.0,63.1
2018,76,Bristol-Myers Squibb,49.2,60.7,51.5,70.0,58.9,62.9
2018,77,Advanced Micro Devices,67.6,60.4,53.2,65.2,45.7,62.7
2018,77,Hasbro,51.1,64.5,54.7,64.1,56.3,62.7
2018,79,Raytheon,61.7,57.7,57.1,59.2,55.9,62.5
2018,80,LyondellBasell Industries,60.9,55.9,52.2,54.1,69.2,62.4
2018,80,Southwest Airlines,54.5,70.6,50.3,57.8,58.6,62.4
2018,82,Cummins,55.5,58.7,53.4,66.2,55.5,62.3
2018,82,Weyerhaeuser,59.5,54.0,63.1,65.2,47.0,62.3
2018,84,Caterpillar,69.3,50.6,59.1,57.0,55.0,62.2
2018,85,Whirlpool,54.5,54.1,74.4,58.7,45.8,62.1
2018,86,Hilton Worldwide,60.2,61.1,55.4,60.2,52.6,61.9
2018,86,Johnson Controls International,62.0,47.7,63.8,67.0,46.8,61.9
2018,86,TE Connectivity,73.8,46.9,52.5,64.0,52.8,61.9
2018,89,Avery Dennison,67.0,53.9,52.5,59.4,56.8,61.7
2018,89,NetApp,59.8,64.2,47.7,57.3,61.1,61.7
2018,91,Chevron,43.4,58.8,72.5,56.5,53.6,61.5
2018,91,FedEx,57.8,54.3,58.8,59.5,56.9,61.5
2018,91,United Technologies,64.1,51.3,64.4,56.7,51.5,61.5
2018,94,Abbott Laboratories,44.2,56.0,73.1,64.7,45.2,61.4
2018,95,Equinix,51.1,65.6,73.3,52.9,43.0,61.3
2018,95,Honeywell,67.8,41.1,71.4,53.7,53.3,61.3
2018,97,Costco Wholesale,58.6,66.5,54.0,49.9,59.6,61.1
2018,98,Boston Scientific,42.9,63.9,60.7,62.9,53.2,61.0
2018,98,Oshkosh Corp.,67.8,68.1,49.0,54.9,49.2,61.0
2018,100,Agilent Technologies,58.7,63.1,49.3,64.6,50.3,60.9
2018,101,Campbell Soup,62.6,49.2,51.0,72.0,49.1,60.8
2018,101,Gap,53.1,52.7,55.8,66.9,54.8,60.8
2018,103,KLA-Tencor,49.7,60.2,47.4,58.2,69.8,60.7
2018,104,Delta Air Lines,42.9,70.6,54.2,58.0,57.9,60.6
2018,105,Ecolab,50.3,50.6,68.6,62.7,49.3,60.5
2018,105,Rockwell Collins,70.4,59.1,48.1,61.4,47.3,60.5
2018,107,Berkshire Hathaway,45.5,52.2,71.2,34.2,81.9,60.4
2018,107,Eastman Chemical,65.9,58.4,53.3,59.3,48.4,60.4
2018,107,Ingersoll Rand,64.2,57.3,48.2,65.0,50.0,60.4
2018,107,Motorola Solutions,52.3,56.4,49.7,65.1,59.6,60.4
2018,107,Philip Morris International,34.1,60.3,60.7,53.3,73.5,60.4
2018,107,Workday,64.8,69.1,50.5,63.0,37.7,60.4
2018,113,Mettler-Toledo International,61.4,48.5,47.0,57.6,70.0,60.2
2018,114,Darden Restaurants,67.2,55.9,48.1,56.2,57.6,60.0
2018,114,Hewlett Packard Enterprise,55.1,43.5,67.5,69.4,43.6,60.0
2018,114,Northrop Grumman,50.1,57.0,53.4,63.6,57.0,60.0
2018,117,Owens Corning,63.0,61.8,48.3,65.5,44.1,59.9
2018,118,Air Products & Chemicals,50.7,57.2,57.4,64.1,50.0,59.6
2018,119,McCormick,68.6,52.1,48.8,62.7,49.8,59.5
2018,120,Wells Fargo,43.1,55.3,59.1,61.0,59.8,59.4
2018,121,Capital One Financial,54.0,64.9,56.7,59.1,45.3,59.3
2018,122,Dell Technologies,71.3,60.0,55.9,56.0,39.0,59.2
2018,122,Electronic Arts,60.2,63.2,48.0,49.3,62.0,59.2
2018,124,eBay,59.0,60.9,49.2,62.6,47.9,59.0
2018,124,Seagate Technology,56.4,39.7,48.5,66.0,67.2,59.0
2018,126,Netflix,52.5,69.2,59.6,37.0,63.9,58.9
2018,126,Varian Medical Systems,53.9,57.8,46.5,64.2,56.4,58.9
2018,126,WABCO Holdings,68.6,56.2,49.8,46.5,62.0,58.9
2018,129,Becton Dickinson,51.1,48.6,63.6,67.0,45.1,58.8
2018,129,Skyworks Solutions,60.8,51.8,47.8,50.9,69.6,58.8
